"id","rate"
4,64.2
8,95.7
12,83.9
24,54.3
32,98.7
51,99.8
36,100
40,100
31,80.2
44,98.4
50,84.8
112,99.6
56,100
84,99.3
204,76.1
64,98.1
68,88.1
70,99.6
72,96.8
76,97.5
100,99.5
854,81.7
108,75.3
116,71.3
120,74.1
124,99.8
140,68.2
148,50.7
152,98.8
156,91.9
170,91.2
178,75.3
188,96.6
384,80.2
191,98.6
192,94
196,100
203,99.8
408,98.1
180,46.5
208,100
262,92.1
214,80.9
218,86.4
818,99.3
222,90.1
233,99.1
231,51.5
242,96.3
246,100
250,100
266,92.2
270,90.1
268,98.7
276,100
288,87.2
300,99.8
320,93.8
324,74.8
624,73.6
328,97.6
332,62.4
340,89.6
348,100
352,100
356,92.6
360,84.9
364,95.9
368,85.4
372,99.9
376,100
380,100
388,93.1
392,100
400,96.1
398,93.1
404,61.7
414,99
417,87.6
418,71.5
428,98.4
422,100
426,81.3
430,74.6
440,95.9
442,100
450,49.6
454,85
458,99.6
462,98.6
466,67.2
478,49.6
484,94.9
496,84.6
499,98
504,83.6
508,49.2
104,85.7
516,91.7
524,88.1
528,100
554,100
558,85
562,52.3
566,64
578,100
512,93
586,91.4
591,94.3
598,39.7
600,93.8
604,86.8
608,91.8
620,99.8
634,100
410,97.8
498,96.5
643,97
646,70.7
682,97
686,74.1
688,99.2
694,60.1
703,100
705,99.6
90,80.5
710,95.1
728,56.5
724,100
144,93.8
729,55.5
740,95.2
748,74.1
752,100
756,100
760,90.1
762,71.7
498,99.4
764,95.8
626,70.5
768,60
788,96.8
792,99.7
795,71.1
800,74.8
804,98
784,99.6
826,100
834,53.2
840,99.2
858,99.5
860,87.3
548,90.7
704,95
887,54.9
894,63.3
716,79.9
